Timestamp,Elapsed Time (s),Event
1741485323.067337,0.000,Baseline Start - Left
1741485328.0722392,5.005,Imagination Start - Left
1741485338.116151,15.049,Rest Start - Left
1741485343.1650612,20.098,Baseline Start - Left
1741485348.171032,25.104,Imagination Start - Left
1741485358.220932,35.154,Rest Start - Left
1741485363.2628312,40.195,Baseline Start - Left
1741485368.299797,45.232,Imagination Start - Left
1741485378.322675,55.255,Rest Start - Left
1741485383.337609,60.270,Baseline Start - Left
1741485388.35357,65.286,Imagination Start - Left
1741485398.362539,75.295,Rest Start - Left
1741485403.363395,80.296,Baseline Start - Left
1741485408.371319,85.304,Imagination Start - Left
1741485418.428202,95.361,Rest Start - Left
1741485423.481138,100.414,Baseline Start - Left
1741485428.492096,105.425,Imagination Start - Left
1741485438.509944,115.443,Rest Start - Left
1741485443.527935,120.461,Baseline Start - Left
1741485448.561864,125.495,Imagination Start - Left
1741485458.566725,135.499,Rest Start - Left
1741485463.5946848,140.527,Baseline Start - Left
1741485468.649614,145.582,Imagination Start - Left
1741485478.702476,155.635,Rest Start - Left
1741485483.7154298,160.648,Baseline Start - Left
1741485488.756385,165.689,Imagination Start - Left
1741485498.802262,175.735,Rest Start - Left
1741485503.8561962,180.789,Baseline Start - Left
1741485508.896235,185.829,Imagination Start - Left
1741485518.906056,195.839,Rest Start - Left
1741485523.94396,200.877,Baseline Start - Left
1741485528.967912,205.901,Imagination Start - Left
1741485539.001785,215.934,Rest Start - Left
1741485544.055743,220.988,Baseline Start - Left
1741485549.076674,226.009,Imagination Start - Left
1741485559.089708,236.022,Rest Start - Left
1741485564.13854,241.071,Baseline Start - Left
1741485569.191447,246.124,Imagination Start - Left
1741485579.197332,256.130,Rest Start - Left
1741485584.238267,261.171,Baseline Start - Left
1741485589.2752361,266.208,Imagination Start - Left
1741485599.329092,276.262,Rest Start - Left
1741485604.342048,281.275,Baseline Start - Left
1741485609.3769732,286.310,Imagination Start - Left
1741485619.431853,296.365,Rest Start - Left
1741485624.4657762,301.398,Baseline Start - Left
1741485629.505719,306.438,Imagination Start - Left
1741485639.5457668,316.478,Rest Start - Left
1741485644.580558,321.513,Baseline Start - Left
1741485649.619518,326.552,Imagination Start - Left
1741485659.658396,336.591,Rest Start - Left
1741485664.693344,341.626,Baseline Start - Left
1741485669.71328,346.646,Imagination Start - Left
1741485679.767159,356.700,Rest Start - Left
1741485684.791101,361.724,Baseline Start - Left
1741485689.8250399,366.758,Imagination Start - Left
1741485699.870927,376.804,Rest Start - Left
1741485704.886864,381.820,Baseline Start - Left
1741485709.918943,386.852,Imagination Start - Left
1741485719.968694,396.901,Rest Start - Left
